Object,RA,DEC,Class
ESO 232-G04,19 22 46.56,-51 00 07.71,PRG
ESO 236-IG2,21 19 46.91,-52 14 16.40,PRG
ESO 239-IG02,22 49 39.73,-48 50 55.08,PRG
ESO 240-IG16,23 44 48.11,-49 06 39.47,PRG
ESO 270-IG09,13 25 29.01,-43 00 59.75,PRG
ESO 287-IG50,21 41 57.79,-46 00 37.41,PRG
ESO 293-IG17,23 56 25.4,-39 10 36,PRG
ESO 296-G11,01 19 57.40,-41 14 04.49,PRG
ESO 305-G21,05 22 42.53,-39 03 46.96,PRG
ESO 326-IG6,14 11 08.37,-40 06 18.65,PRG
ESO 341-G02,20 39 04.19,-41 10 52.87,PRG
ESO 341-IG04,20 41 13.62,-38 11 35.62,PRG
ESO 343-IG13,21 36 10.63,-38 32 37.36,PRG
ESO 365-G16,06 25 10.33,-37 20 23.15,PRG
ESO 415-G26,02 28 20.1,-31 52 52,PRG
ESO 464-G31,21 18 21.53,-27 20 46.84,PRG
ESO 474-G16,00 42 52.55,-23 32 25.73,PRG
ESO 474-G26,00 47 07.38,-24 22 13.72,PRG
ESO 498-G01,09 23 30.10,-23 09 43.36,PRG
ESO 500-G41,10 26 56.17,-24 05 20.07,PRG
ESO 501-IG46,10 37 12.70,-27 41 00.54,PRG
ESO 503-G17,11 26 52.5,-27 42 21,PRG
ESO 533-IG15,22 20 44.53,-24 40 40.96,PRG
ESO 566-IG8,09 44 59.51,-19 42 44.67,PRG
ESO 576-G69,13 30 05.18,-20 55 56.20,PRG
ESO 578-G14,14 01 08.14,-22 33 33.25,PRG
ESO 603-G21,22 51 22.0,-20 14 50,PRG
ESO 75-G55,22 06 24.40,-67 31 00.79,PRG
ESO 79-G05,00 40 43.55,-63 26 28.27,PRG
FM 117-4,03 40 37.78,-62 46 48.39,PRG
FM 186-10,20 12 23.53,-54 21 33.90,PRG
FM 186-16,20 27 53.94,-54 37 58.83,PRG
FM 188-15,21 49 08.39,-54 18 12.88,PRG
FM 188-8,21 36 11.05,-53 41 23.82,PRG
FM 197-28,02 17 16.22,-48 42 47.92,PRG
FM 197-8,01 50 28.53,-47 09 56.78,PRG
FM 198-15,02 29 16.04,-48 29 27.47,PRG
FM 235-17,21 10 31.12,-47 30 31.47,PRG
FM 251-10,04 30 21.02,-45 01 32.85,PRG
FM 251-33,04 44 08.04,-44 06 46.84,PRG
FM 251-47,04 57 01.67,-46 45 00.35,PRG
FM 265-16,11 20 47.83,-43 15 49.33,PRG
FM 298-9,02 09 44.20,-37 33 02.79,PRG
FM 3-5,01 52 40.49,-81 37 50.03,PRG
FM 3-7,03 01 44.41,-82 35 31.31,PRG
FM 304-3,04 35 29.00,-39 30 57.14,PRG
FM 305-17,05 23 00.36,-38 52 11.36,PRG
FM 316-19,10 09 05.39,-38 24 35.00,PRG
FM 316-24,10 11 01.88,-39 41 36.16,PRG
FM 327-23,15 00 34.03,-40 48 36.08,PRG
FM 327-6,14 43 48.54,-37 06 55.64,PRG
FM 351-12,00 56 19.24,-35 14 51.65,PRG
FM 358-11,03 35 20.22,-32 36 06.95,PRG
FM 358-25,03 43 36.93,-35 51 11.44,PRG
FM 360-26,04 39 13.80,-37 39 51.00,PRG
FM 363-11,05 47 21.98,-35 49 27.87,PRG
FM 409-16,23 56 24.82,-29 01 23.37,PRG
FM 412-16,01 16 05.79,-32 29 28.12,PRG
FM 424-20,05 49 29.62,-33 03 40.75,PRG
FM 438-21,11 18 35.12,-27 59 56.45,PRG
FM 438-6,11 00 22.66,-28 45 42.78,PRG
FM 47-9,20 42 08.24,-73 37 08.98,PRG
FM 470-15,23 37 06.38,-29 05 02.27,PRG
FM 50-4,23 34 27.54,-70 37 49.60,PRG
FM 50-7,23 46 39.25,-70 22 48.89,PRG
FM 509-47,13 47 10.22,-22 07 01.26,PRG
FM 531-6,21 34 29.08,-25 28 36.92,PRG
FM 59-12,08 00 03.47,-67 10 17.58,PRG
FM 77-13,23 25 42.95,-67 03 26.14,PRG
FM 85-1 ,04 38 39.34,-66 13 57.20,PRG
FM 85-12,04 48 15.27,-63 27 44.60,PRG
FM 85-35,05 18 14.43,-62 12 13.68,PRG
HRG 00201,00 03 37.6,-82 22 04,PRG
HRG 00202,00 06 20.0,-82 52 20,PRG
HRG 00203,00 09 49.2,-82 26 54,PRG
HRG 00204,00 12 36.51,-84 11 22.37,PRG
HRG 00205,00 18 24.50,-83 06 36.88,PRG
HRG 00206,00 18 38.2,-82 34 45,PRG
HRG 00207,00 22 48.5,-82 21 55,PRG
HRG 00208,00 52 10.8,-82 12 54,PRG
HRG 00209,00 56 20.9,-82 23 57,PRG
HRG 00210,00 57 52.2,-83 25 38,PRG
HRG 00211,00 59 05.2,-82 16 35,PRG
HRG 00212,01 24 27.2,-84 42 44,PRG
HRG 00213,01 31 58.26,-85 10 37.42,PRG
HRG 00214,21 59 03.8,-84 57 00,PRG
HRG 00215,22 51 01.2,-82 05 09,PRG
HRG 00216,23 01 36.34,-84 03 33.51,PRG
HRG 00302,02 14 54.5,-83 42 31,PRG
HRG 00303,02 20 58.1,-82 54 46,PRG
HRG 00304,02 56 56.3,-82 36 00,PRG
HRG 00305,03 52 00.40,-83 49 52.51,PRG
HRG 00401,04 19 34.9,-84 46 49,PRG
